Model,CV_Mean,CV_Std,Test_Accuracy,Training_Time
RandomForest,0.9002410923022696,0.008038306693889824,0.9006004002668445,2.645498514175415
LogisticRegression,0.9273494843255209,0.007444567262419129,0.9336224149432956,0.13277840614318848
GradientBoosting,0.9225119458817546,0.005502291311183447,0.923282188125417,73.78445744514465
MultinomialNB,0.9224282298939842,0.007119241205940391,0.9219479653102068,0.029408693313598633
SVM,0.9247637876508827,0.008435515482873279,0.933288859239493,77.87453746795654
